A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,Credit
1,302,0.0,3,3,6,3,0.0,0,0,0,0,0,0,0,0.2,14.0,2,0.21,bad
2,211,3.25,2,1,11,4,9.0,1,0,0,1,0,2,639,1.0,99.0,2,0.3,good
0,254,1.75,3,3,0,0,0.0,0,0,0,1,0,19,1,0.28,14.0,2,0.22,bad
2,43,5.625,2,1,13,8,1.71,1,0,0,0,2,8,0,0.17,25.0,0,0.77,good
1,85,0.5,2,1,11,4,1.25,1,1,1,0,0,0,678,0.8,14.0,0,0.74,good
2,102,3.25,2,1,2,4,2.29,0,1,1,1,0,115,21,0.09,81.0,1,0.15,bad
2,73,3.0,2,1,10,8,1.29,1,1,1,0,0,67,800,0.97,4.0,1,0.26,good
2,49,5.085,3,3,8,8,0.29,0,0,0,0,0,15,184,0.5,83.0,1,0.82,bad
2,232,1.71,3,3,10,8,0.165,0,0,0,0,2,111,0,0.55,75.0,1,0.15,bad
2,281,4.165,2,1,14,1,0.085,0,0,0,1,0,141,0,0.18,58.0,1,0.36,bad
1,75,1.835,2,1,8,5,0.0,0,1,1,0,0,40,53,0.08,7.0,2,0.74,bad
2,94,12.5,2,1,1,8,3.0,1,0,0,1,2,39,0,0.05,26.0,1,0.03,good
2,77,11.125,2,1,14,4,0.46,1,1,1,0,0,1,0,0.4,14.0,2,0.4,good
2,88,2.0,2,1,5,2,0.165,0,1,2,0,0,86,1300,0.49,7.0,1,0.99,bad
2,229,2.5,3,3,7,4,10.0,0,0,0,1,2,40,0,0.02,56.0,2,0.4,bad
2,24,0.165,2,1,4,8,0.25,0,0,0,1,2,74,0,0.6,61.0,1,0.46,bad
2,62,0.5,2,1,2,8,0.125,0,0,0,0,0,96,0,0.65,15.0,2,0.59,bad
2,266,7.0,3,3,2,8,1.625,0,0,0,0,0,23,2,0.31,90.0,2,0.97,bad
2,126,3.0,2,1,13,8,0.75,0,0,0,1,0,80,67,0.65,68.0,0,0.66,bad
2,282,3.75,2,1,7,1,1.0,0,0,0,0,0,1,2,0.2,23.0,0,0.7,bad
2,256,3.0,2,1,7,1,1.0,1,0,0,0,0,0,200,0.5,27.0,0,0.43,bad
2,129,5.04,3,3,2,1,1.5,1,1,8,1,0,17,7,0.51,5.0,1,0.17,good
2,348,5.5,2,1,0,0,0.54,1,0,0,0,0,0,340,0.2,33.0,0,0.11,bad
2,227,5.0,2,1,3,8,3.5,1,1,10,1,0,0,0,0.09,53.0,2,0.55,good
1,34,0.585,3,3,1,8,0.585,1,0,0,1,0,23,0,0.71,72.0,0,0.05,bad
0,46,7.5,2,1,9,8,1.5,1,1,1,0,0,23,234,0.94,83.0,2,0.11,good
2,138,14.79,2,1,1,8,5.04,1,1,5,1,0,27,0,0.16,89.0,2,0.37,good
2,285,12.0,2,1,10,8,16.0,1,0,0,0,2,4,0,0.18,45.0,0,0.55,good
1,218,5.5,2,1,11,8,0.125,1,0,0,1,0,55,0,0.69,89.0,0,0.14,good
2,139,1.25,2,1,13,8,1.75,0,0,0,0,0,40,0,0.42,33.0,2,0.44,bad
2,69,11.5,3,3,10,8,1.5,0,0,0,1,0,0,4000,0.91,95.0,2,0.26,bad
2,329,2.75,2,1,13,8,1.75,1,1,5,1,0,147,58,0.97,2.0,2,0.73,good
2,123,13.75,2,1,13,8,5.75,1,0,0,1,0,132,500,0.71,62.0,0,0.57,good
2,46,1.085,2,1,11,8,1.5,0,0,0,0,0,3,7,0.87,67.0,0,0.35,bad
1,152,6.5,2,1,2,1,4.0,1,1,7,1,0,0,3065,0.29,85.0,1,0.98,good
2,123,2.0,2,1,14,4,1.0,1,1,4,0,0,15,7544,0.39,42.0,0,0.16,good
1,274,13.0,2,1,7,1,5.165,1,1,9,1,0,0,0,0.86,63.0,1,0.25,good
0,170,1.5,2,1,2,8,0.25,0,0,0,1,0,101,122,0.08,19.0,2,0.06,bad
2,134,14.5,2,1,4,8,0.125,0,0,0,0,0,0,286,0.77,38.0,2,0.1,bad
2,198,4.5,2,1,14,4,5.75,0,0,0,1,2,153,0,0.43,19.0,1,0.87,good
1,31,4.415,3,3,2,4,3.0,1,0,0,0,0,61,0,0.78,79.0,2,0.04,good
1,280,8.0,2,1,2,8,7.875,1,1,6,1,0,0,1260,0.7,18.0,0,0.27,good
2,70,10.04,2,1,14,8,0.04,1,1,9,0,0,147,396,0.1,32.0,2,0.59,good
2,110,13.0,2,1,5,2,0.0,0,0,0,1,0,15,1110,0.19,70.0,0,0.71,bad
2,114,4.5,3,3,2,1,2.5,0,0,0,0,0,40,1210,0.19,93.0,1,0.05,bad
0,143,0.665,2,1,13,8,0.25,0,0,0,1,0,80,0,0.86,56.0,2,0.66,bad
1,71,7.0,2,1,2,8,0.165,0,0,0,0,0,23,0,0.09,35.0,2,0.67,bad
2,215,2.04,2,1,13,8,0.04,1,0,0,1,0,111,5800,0.88,37.0,1,0.57,good
2,119,1.585,2,1,3,4,1.835,1,1,12,1,0,146,713,0.41,97.0,2,0.98,good
2,189,1.75,2,1,13,1,0.25,1,0,0,1,0,24,0,0.08,41.0,2,0.1,bad
2,163,0.83,2,1,14,8,1.335,1,1,8,1,0,81,3290,0.06,59.0,0,0.12,good
2,229,1.71,2,1,14,8,0.125,1,1,5,1,0,131,0,0.3,93.0,1,0.57,good
1,66,1.25,3,3,6,3,3.25,0,0,0,0,0,74,0,0.24,37.0,2,0.4,bad
2,71,10.5,2,1,11,4,1.335,1,0,0,0,0,1,0,0.12,99.0,2,0.68,good
1,146,5.29,2,1,5,2,2.25,1,1,5,1,0,169,500,0.37,95.0,1,0.78,good
2,308,9.625,2,1,5,8,8.665,1,1,5,0,0,0,0,0.2,82.0,1,0.24,good
2,286,4.25,2,1,10,8,0.125,1,0,0,1,0,54,0,0.18,16.0,1,0.49,good
2,148,0.5,2,1,2,8,1.75,1,1,11,0,0,85,540,0.09,44.0,0,0.33,good
1,185,1.585,3,3,6,3,0.0,1,0,0,0,0,86,0,0.21,36.0,0,0.03,bad
2,315,12.5,2,1,9,4,8.0,1,0,0,1,0,60,2028,0.83,40.0,1,0.85,good
2,346,19.0,3,3,6,3,0.04,0,1,2,0,0,0,351,0.31,100.0,1,0.28,bad
2,119,1.665,2,1,3,4,5.085,1,1,9,0,0,109,827,0.81,65.0,1,0.48,good
1,83,0.71,2,1,13,8,0.25,0,1,1,1,0,61,4,0.04,80.0,0,0.84,bad
2,55,7.5,2,1,1,8,1.415,1,1,1,0,0,159,9800,0.42,100.0,1,0.75,good
2,179,3.165,3,3,14,8,3.165,1,1,3,1,0,103,0,0.9,36.0,2,0.13,good
2,75,0.75,2,1,10,8,0.5,0,0,0,1,2,86,0,0.77,26.0,0,0.94,bad
2,7,0.04,2,1,2,8,0.04,0,0,0,0,0,0,0,0.91,56.0,2,0.59,good
1,112,2.54,3,3,6,3,0.0,0,0,0,1,0,34,60,0.69,5.0,0,0.1,bad
2,160,19.5,2,1,2,8,7.0,1,1,16,0,0,0,5000,0.2,55.0,1,0.65,good
2,115,0.54,2,1,9,3,0.0,0,0,0,0,0,1,0,0.92,27.0,1,0.84,bad
2,26,10.415,3,3,1,8,0.125,1,0,0,0,0,8,375,0.86,94.0,2,0.32,bad
2,122,2.04,3,3,1,8,2.0,1,1,3,1,0,99,560,0.65,59.0,0,0.66,good
1,26,9.25,2,1,11,8,1.21,1,1,4,0,0,147,540,0.33,3.0,2,0.61,good
