d1,d2,Label
4.271093851,-3.746014228,A
0.814672544,-3.555678314,A
-8.438429226,8.650077434,B
6.293951876,-2.995986722,A
0.206488781,0.331509252,A
9.145817347,11.4448661,B
1.050598634,9.741210555,B
8.345058464,0.509706424,A
2.505634983,12.04033989,B
1.395801431,7.767939089,B
6.422169015,9.019736285,B
2.725608236,-1.521627464,A
6.848898833,-0.457632712,A
-2.610207473,11.2263922,B
6.49317479,0.6727718,A
3.93468617,2.282127149,A
3.840388374,5.651461805,B
2.710854189,11.79849149,B
0.762809194,7.765399718,B
-3.426954253,11.57537426,B
3.132164212,-1.931488134,A
4.641236883,4.192967602,B
0.549132762,7.79021515,B
7.308182422,2.99220565,A
7.361125665,4.774437004,A
3.337641151,-5.508072676,A
10.03056572,-2.460010332,A
4.301696204,11.63659482,B
1.369136377,1.510833733,A
4.242602746,5.681620093,A
-7.103394094,7.480093066,B
-4.860814618,9.756415237,B
2.085273394,5.844841124,A
-0.144574331,7.839252404,B
3.381331838,-6.299163745,A
3.964641288,1.093177391,A
2.301295003,6.44884037,B
6.525218514,6.887218194,A
-0.11275567,11.80539038,B
1.583929201,12.11875072,B
7.423837095,2.74428627,A
-2.142056019,13.0409107,B
-0.840065799,14.10221733,B
6.014787434,-1.849990015,A
3.11399575,-0.849808626,A
6.729685713,4.236149038,A
-0.92764426,8.99755019,B
-1.965686773,7.738680875,B
4.834110956,1.613420948,A
-5.748913836,16.07119632,B
13.61587662,-4.505713401,A
-8.47158382,11.83690427,B
-5.659932475,10.35033178,B
1.063452207,-0.729273312,A
2.131786552,9.077495353,B
6.408290189,-4.982837331,A
1.866946382,14.47386678,B
5.505093108,0.778098367,A
11.24322396,-2.722875837,A
7.820644573,-0.159855845,A
0.607422125,3.781136562,B
1.756161281,2.468503518,A
4.951667987,0.752454292,A
7.845575412,0.979229536,A
1.819639738,10.71635459,B
11.21815878,-1.89245471,A
4.830352484,-1.49767299,A
3.988262832,9.976880788,B
2.731621261,7.418378898,B
4.831238651,7.932394319,B
5.954541873,-5.470376961,A
1.357639498,8.761715033,B
-1.331710261,13.26033164,B
11.23409905,-3.525511627,A
0.980742513,5.39475343,B
3.874021921,7.180089556,B
0.78533748,10.58769869,B
0.347279559,1.680061507,A
6.862617022,-3.74264715,A
-2.597480015,6.199569451,B
1.949647666,-0.098249239,A
-0.2676237,0.647663978,A
3.15804247,4.756576958,A
1.179246263,-2.382682959,A
0.985118138,11.94609993,B
2.873415516,6.772847184,B
-1.001303672,9.914127473,B
0.032537447,7.672712752,B
3.262466564,6.915322393,B
-1.447586594,7.703587398,B
7.638108454,-0.663803564,A
3.128686777,-2.643701766,A
-0.302787814,15.34863305,B
-3.409111104,4.729676516,B
2.545618784,-0.192181479,A
6.306891661,4.608203662,A
4.014818388,9.51787636,B
10.05820739,1.705503782,A
5.333326918,6.696098217,A
3.980223691,6.424977625,A
5.118675348,-1.364774726,A
-0.703408557,10.59437628,B
5.962392087,-2.452338972,A
-1.349903762,8.004949019,B
3.341816341,-3.813894044,A
4.617024572,2.276250425,A
-0.53558989,13.14719663,B
10.10485219,-8.574635718,A
2.430943161,5.741506007,B
-0.951248978,10.44530239,B
4.173567591,0.355752229,A
-0.047810962,6.561861401,B
0.169894182,12.55180684,B
0.678897426,0.385955062,A
4.885130478,4.264550751,A
4.968239601,0.91205434,A
1.203443516,3.469663009,A
-0.509611134,3.97744688,A
6.114238623,-0.134502266,A
5.380889195,2.343721375,A
-0.379999597,1.392942871,A
0.434206761,8.883041364,B
11.61221461,-0.545997031,A
-0.8302556,7.566972773,B
4.811779586,0.162120925,A
3.098556978,-4.81967279,A
5.997346637,-8.048554986,A
1.934566028,2.493397715,A
2.569136385,-4.204479948,A
4.27844936,6.667457273,A
2.115515128,-4.901851513,A
6.201377026,-0.653829856,A
4.133744427,-0.177423158,A
-3.6649376,14.70876551,B
-3.815642694,7.738107863,B
2.785780165,1.502368171,A
-2.399400266,8.525870379,B
4.870617567,2.680504235,A
-0.923710361,3.659414608,A
9.496861242,-4.82195656,A
3.364948076,-4.569155829,A
0.711179117,9.181339889,B
3.020670897,-1.275713188,A
1.975549572,8.417618886,B
3.110627812,10.30800153,B
-1.311956417,15.37806386,B
8.491576632,1.216271152,A
4.546698689,1.08801885,A
9.77601639,-5.92429556,A
-2.374916234,7.672943803,B
-0.146763222,8.73826933,B
3.174189196,15.30944691,B
4.448078763,9.437954178,B
3.494696687,7.697270366,B
-1.440037769,15.55783083,B
0.99843659,-1.781870918,A
8.459238588,1.558709126,A
3.212466527,18.16472274,B
1.446232601,15.88960296,B
7.929994101,0.324989852,A
