d1,d2,Label
-0.25596005,-1.04308515,A
-0.529167914,-0.079504353,B
-1.173880317,0.254803263,A
-0.993089478,0.461106311,A
-0.018390684,-0.1616685,B
0.747908199,0.614233649,A
0.165700927,-0.323069361,B
-0.243052312,0.013688641,B
0.578631092,0.107748427,A
0.206425726,0.998111421,A
-0.523113643,-0.005369378,B
-0.321461237,1.053638855,A
0.395061915,-0.988665195,A
-1.072844961,0.139072119,A
-0.050279644,0.43028827,B
0.117068077,1.140539833,A
0.097902321,-0.082064077,B
-0.752215469,-0.470676517,A
-0.909264394,-0.496512864,A
-0.458540769,0.853658288,A
0.918191397,0.968744128,A
-0.106159066,-0.105455875,B
-0.308197317,0.991969264,A
-0.828942199,-0.188567297,B
-0.097542372,-0.074358222,B
1.144222667,-0.381517142,A
0.307196141,0.266428793,B
-1.270032086,-0.618285936,A
0.851839899,-0.510909855,A
-0.352536241,-0.116743165,B
-0.314079589,-0.121451609,B
-0.547952121,0.002459907,B
0.064357195,-0.069747,B
-0.554558809,0.170172206,A
0.177266666,0.583791739,B
0.042014519,-0.107093836,B
0.4174791,-1.134030007,A
-0.432638871,0.673414153,A
0.571726097,0.341681148,B
-0.186413436,-1.042473215,A
-0.178338938,0.047585136,B
-0.220053541,-0.123906143,B
-0.131696908,-0.689334994,A
-0.148298184,-0.381372277,B
-0.120482185,0.169276852,B
-0.047492847,0.340944643,B
-0.238903031,-0.321631992,B
-0.026342567,0.763957174,A
-0.157169735,0.02731779,B
-0.168138408,-0.355348886,B
0.43538057,0.361251605,B
0.024061227,-0.093860792,B
0.192393082,-0.06571528,B
-0.018832173,0.189943482,B
-0.401006363,0.151833854,B
0.537709708,-0.789460796,A
0.115339475,-0.143908342,B
-0.368423005,0.262012603,B
-0.004706315,0.211123104,B
0.143924319,0.020468244,B
-0.09928923,-0.139350775,B
-0.263796711,0.414708745,B
0.71337097,0.077303169,A
-0.949007079,-0.149986792,A
-0.240897883,1.059174025,A
0.251811601,-0.117958946,B
-0.031066687,0.219765937,B
1.041682447,0.438480751,A
0.132143894,-0.322630538,B
0.277889393,0.163350109,B
-0.241898274,-0.027719091,B
-0.52307496,0.785591545,A
-0.005331347,-0.084561779,B
0.035063414,-0.210127532,B
0.801434884,0.282211179,A
-0.156419046,0.137083689,B
0.040092355,-0.080509262,B
-0.483178304,-0.139209314,B
-0.022225637,-0.619143195,A
-0.093802942,-0.213672983,B
0.580653142,0.143513747,B
0.240643117,-0.98595891,A
-0.221334656,-0.026373687,B
0.176271556,-0.108989489,B
-0.029731876,-0.051746072,B
0.041134156,0.043279609,B
-0.527607374,-0.908421344,A
0.014300808,0.971248309,A
0.126840884,-0.300702025,B
0.710419412,0.769478816,A
-0.284281446,0.051528146,B
0.612817594,0.139112392,B
-0.40094801,0.232005905,B
1.164998772,-1.09612312,A
-0.248060416,-0.303299417,B
-0.381332275,0.176818464,B
0.120845271,0.900022968,A
-0.655137462,0.348868149,B
-0.316104141,-0.823139651,A
-0.783767316,0.268257553,A
-0.074645324,-0.004080667,B
0.140550869,-0.554875045,B
-0.274138768,-0.801562045,A
0.697348101,0.143045534,A
-0.072218777,0.218822864,B
-0.252147772,-0.068297273,B
1.152036861,-0.055971088,A
-1.012452275,0.734553775,A
0.123536074,0.574969428,B
-0.959183379,0.173662715,A
0.052027295,-0.182426029,B
0.132856518,1.157034352,A
-1.061109035,0.239601383,A
0.239411902,-0.96846088,A
1.043582513,-0.242399643,A
-0.181172858,0.100255842,B
-1.036463014,-0.186365919,A
-0.04731808,0.112742455,B
0.320239573,0.117302916,B
0.762749355,0.62374649,A
0.219359427,-0.913645316,A
-0.128559469,0.045789109,B
-1.118418652,0.304716178,A
-0.903131145,-0.443652285,A
-0.33632139,-1.139375032,A
-0.238831954,0.819191453,A
0.102472822,0.022314487,B
0.364553698,0.001735201,B
-0.917111337,0.677946094,A
0.173238054,0.732544278,B
-0.565463317,-0.453684244,A
-1.057846834,0.010628988,A
0.930865188,1.001818166,A
-0.049270697,-0.124812117,B
-1.000802816,0.468437179,A
-0.249018339,0.390656174,B
-0.173198392,-0.013476514,B
-0.974189198,0.125331549,A
0.631833241,-0.473473702,A
0.28291057,0.536340056,A
-0.730522608,0.634258663,A
1.114071819,0.235328293,A
-0.00245131,-0.251772828,B
-0.247671991,0.938571697,A
1.231163633,0.85801162,A
-0.094010741,-0.978380923,A
0.344087189,-0.082221006,B
-0.329628916,0.807139483,A
-1.198996081,-0.058357102,A
0.999193204,0.028183253,A
-0.097973554,0.243304746,B
1.128724501,-0.188165423,A
-0.256465574,-0.155653001,B
0.062559647,0.279462473,B
0.397237033,-0.242967689,B
-0.324533654,0.801557639,A
0.263899784,0.635995517,B
-0.640104435,-0.646426253,A
-0.83448453,0.786837504,A
0.008216561,0.883212865,A
-0.220058404,-0.00387032,B
0.634397032,-0.646677509,A
0.625323294,-1.136939369,A
-1.105306996,0.644308961,A
0.030330278,0.255959639,B
0.23765664,0.386137036,B
0.132222362,0.805529692,A
-0.490418894,0.217986733,B
-0.205343439,0.458734423,B
-0.581323565,0.580683817,A
0.638227517,0.109631995,A
-1.079903283,0.655317975,A
0.936733925,0.627760601,A
0.05550559,-0.218073853,B
-1.238722995,-0.304302664,A
0.265608381,0.000708292,B
1.072602678,0.062789977,A
-0.273808152,-0.134037634,B
-1.134930477,0.654043946,A
0.190720822,-0.202812515,B
-0.185636802,0.233026575,B
-0.238313873,-0.07678843,B
0.207432256,0.305743011,B
0.029331949,-0.369399044,B
-0.342005082,0.795431734,A
-0.021784285,0.402329503,B
0.161157479,0.187280372,B
0.707609934,0.873468614,A
0.813880981,0.449471035,A
1.194149608,0.8608192,A
-0.35059979,-1.101570768,A
-0.290712544,0.761667824,A
-0.109517008,-0.594214525,B
-0.300449701,-0.613963413,A
0.222924262,0.989859215,A
-0.928226771,-0.525216164,A
-0.955835167,-0.355879977,A
-0.209199673,-0.042327582,B
0.254438718,-1.093827527,A
0.707293701,-0.720228987,A
0.385140272,-0.501323466,B
-0.141047511,0.252927583,B
-1.283791753,0.331405214,A
-0.056442752,1.224743342,A
0.3956974,-0.166768048,B
-0.138601909,0.044269497,B
-0.726812588,-1.048072118,A
0.791172669,0.245165667,A
-0.245951354,-0.889734178,A
-0.68432093,0.738801991,A
-0.004041485,-0.852712829,A
-0.141563798,-0.242292245,B
-0.274226965,0.227373727,B
-0.832425705,-0.278998855,A
0.196732212,0.924071462,A
0.237629751,1.068592798,A
-0.542086428,-0.610234754,A
-1.284989689,0.154418848,A
1.248510663,-0.084878786,A
0.536304516,0.616298126,A
0.207564974,-0.28909611,B
1.038358637,-0.516887113,A
-1.200958657,0.765147131,A
-0.838553144,-0.367567013,A
0.919105622,0.65836004,A
-0.663114481,-0.141837194,B
0.191746798,0.904948451,A
-0.29465021,0.791479625,A
0.973449747,-0.071451096,A
0.17915545,0.243917172,B
-0.543590789,0.856450051,A
1.264136737,-0.182478619,A
0.574055882,0.55961344,A
-0.466824356,-0.169348027,B
-0.287568185,0.102655192,B
-0.18031453,-1.100647333,A
0.350534456,0.921789213,A
-0.471887599,-0.625275593,A
0.25142777,-0.331302322,B
-0.372686412,-0.219986277,B
0.198281666,-0.176925896,B
-0.469400563,-0.019017729,B
0.092089788,-0.58728056,A
-0.263281428,0.167225466,B
0.477135046,0.695155965,A
-0.018335775,0.200352172,B
-0.066075317,0.087022056,B
0.314494975,1.04892519,A
-0.141671786,0.069578238,B
-0.233273778,0.848301563,A
-0.935334966,0.226953581,A
0.011585919,0.856374695,B
0.324282425,-1.079074994,A
0.091112986,0.374082111,B
0.199618928,-1.214902636,A
-0.811043103,-0.662792046,A
-0.022822213,0.169569295,B
0.148855021,-0.067470826,B
-0.762301516,-0.082770126,A
-0.006855133,-0.091733879,B
0.035717702,-0.229908049,B
0.160859524,0.276756736,B
0.395588596,-0.630073933,A
-0.164306631,-0.01831525,B
-0.729056686,1.023019858,A
-1.133277211,-0.398852172,A
-0.990604532,-0.109646535,A
-0.601031935,-0.341521736,A
-0.928038493,-0.063900042,A
0.057270976,-0.047320258,B
0.372234743,0.037508228,B
0.904132278,0.147008947,A
-0.59618281,0.164191415,B
-0.597553577,1.059959915,A
-0.060460068,-0.284133064,B
0.319358175,0.067958626,B
0.441370894,-1.181255847,A
-0.937026206,-0.756137366,A
-0.248285402,0.070418055,B
1.242169801,-0.261332427,A
-0.077545156,-0.088656475,B
-0.020034391,-0.413685702,B
0.243312399,0.114659801,B
