d1,d2,Label
2.148177182,0.581310372,B
0.309140517,0.843015461,A
1.013613464,0.629329749,A
-0.827578619,0.680320422,A
0.283903977,-0.110440162,B
-0.213650328,0.635503254,A
1.18484549,0.58053191,A
0.35450413,0.78723979,A
0.163054312,0.613029488,A
1.063910815,-0.343805985,B
2.181484871,0.733559304,B
0.26330208,0.074453706,B
-0.940489758,0.098539876,A
-0.905311074,-0.107453205,A
1.16182494,-0.867118363,B
0.560054285,-0.32622321,B
0.803341049,-0.680563919,B
-0.0042242,0.010083569,B
1.207354131,-0.029837791,A
-0.133469619,0.194685308,B
2.064568027,0.333564466,B
-0.910804012,0.896866359,A
-1.07331717,0.212737652,A
0.872212838,0.518142673,A
1.512990925,0.207850365,B
0.730695494,0.05000327,A
0.963899276,-0.062504168,B
0.619381368,-0.274197634,B
1.270979425,-0.416564436,B
0.367855535,-0.147294578,B
2.233482136,0.017480542,B
0.585928656,0.108598088,B
-1.115330961,0.103799277,A
-1.073314659,0.313308915,A
1.042969019,-0.421410774,B
-0.820466402,0.869307216,A
-0.001838228,-0.121903249,B
1.349599345,-0.124140167,B
1.289537962,-0.637583216,B
0.796194446,0.043957201,A
0.540601564,0.672870835,A
0.10527751,1.073440239,A
-0.831052339,0.998778526,A
0.432634739,1.025307615,A
2.061958877,0.362205026,B
0.989599442,0.638191551,A
-0.318743861,0.546274458,B
1.770760428,-0.179929497,B
-0.041388593,0.944851381,A
1.206867644,-0.511273474,B
0.862072609,0.77406589,A
0.255993621,0.880559015,A
0.901588216,-0.194176147,A
-0.155817086,1.45512679,A
0.698756569,-0.470694746,B
-0.693114956,0.881212883,A
0.485921147,0.817232345,A
-0.633477253,0.91620047,A
-0.046421649,0.081174984,B
-0.781827816,-0.055254368,A
0.193581635,1.21372781,A
-1.187722864,0.148709801,A
0.81949997,-0.541715747,B
0.172316234,-0.268210555,B
0.179782767,0.925819375,A
0.539245253,-0.607638353,B
0.945339606,0.173370665,A
1.912932389,0.060276652,B
-0.453616455,0.610982586,A
0.944966279,0.44426094,A
-0.146678493,1.080185251,A
0.380551192,-0.761946224,B
-0.173980485,0.77826408,A
-0.521940815,0.262764997,B
2.04104617,0.432693266,B
-0.083651054,0.746809838,A
2.037171267,-0.511847454,B
-0.269533334,1.12986833,A
0.416378282,1.028512985,A
0.832951579,0.198530602,A
1.503703926,-0.06908293,B
1.974928551,-0.091933457,B
0.064265518,0.95953307,A
-0.325029023,0.689671449,A
-0.520690079,1.291201148,A
0.22127887,-0.18051492,B
-0.480945992,1.0957464,A
1.622138772,-0.015062214,B
-0.66035257,0.479713092,A
0.843391673,0.660192666,A
0.25239637,0.307234185,B
-0.686699163,0.040618159,A
0.975023312,-0.760405149,B
-0.263605608,0.817016182,A
-0.165147198,1.230540391,A
0.905769153,0.881121476,A
-0.830127987,0.416787909,A
0.706689553,-0.898527969,B
-0.826541883,0.264163203,A
0.198943562,0.231024155,B
0.357025253,0.117695452,B
0.54638379,-0.633954873,B
0.947986354,0.541281993,A
0.066278122,0.756253591,A
0.165114934,1.146089683,A
2.002169257,0.002144605,B
1.103496029,-0.108749935,B
1.63364967,-0.390069725,B
0.137742022,0.304697804,B
0.341419654,0.199245706,B
1.929633873,0.462612269,B
-0.939063339,-0.248753028,A
0.775597343,-0.221396149,B
-1.008722324,0.010366418,A
1.253625027,-0.399121737,B
0.551715611,-0.07344649,B
0.292085209,0.196876153,B
0.662495357,0.842047604,A
1.095478444,-0.682593393,B
1.816888359,-0.027592818,B
0.279638355,0.679082231,A
1.973032415,0.56982,B
1.413650287,0.153845649,A
2.076896785,0.547644387,B
-0.262166107,0.012804223,B
0.829620889,0.456872383,A
-1.141241388,-0.006122487,A
1.090310703,-0.690764267,B
0.822235628,0.093843172,B
-0.120782589,0.571175712,B
1.026525887,-0.663467937,B
0.428926704,-0.511146456,B
1.858409945,-0.139615751,B
-0.074472531,-0.321844417,B
0.837824252,0.297226799,A
-0.68985446,0.844277032,A
0.115353793,-0.32828081,B
-0.156954738,0.800489604,A
-0.314451604,0.852006015,A
-0.778855368,0.395309034,A
1.679149665,-0.040630457,B
1.114813429,0.603053433,A
2.047310653,-0.462771425,B
0.315720414,0.097461837,B
0.205047064,0.922904935,A
1.831577179,-0.264663526,B
0.881892471,0.866715926,A
0.172581169,1.135090708,A
-0.139093532,0.931841088,A
0.182565132,0.243663472,B
0.82734086,-0.030291331,A
0.872022722,-0.645084187,B
0.521770139,-0.595220124,B
-0.566883427,0.958491174,A
0.117197674,0.092630662,B
1.76028797,-0.293821232,B
0.638079708,-0.809756579,B
0.739218045,-0.494742409,B
0.338543659,-0.56023385,B
0.750338226,-0.557790746,B
1.290887799,-0.164785679,B
-1.06164509,0.512496395,A
-0.86734485,-0.131741195,A
0.544311731,0.996440669,A
-0.141285187,1.049837812,A
-0.111315541,0.271931519,B
-0.239393532,1.21647699,A
0.363356088,0.903672902,A
1.882041017,0.188797398,B
1.370651846,-0.399079274,B
1.735105786,-0.231327213,B
-0.06195707,-0.22991998,B
0.563513982,-0.250768342,B
0.575889633,-0.222858537,B
0.117215241,-0.205192584,B
0.521607957,0.581176347,A
-0.316322731,0.678164187,A
-0.988800545,0.743140834,A
1.341086615,-0.42170577,B
1.68816219,-0.347099225,B
-0.1393272,1.219818307,A
0.069976513,1.10691103,A
-1.203266276,0.314235678,A
0.148927383,0.02780095,B
-0.006846591,0.397530235,B
1.411125311,-0.42115718,B
0.669960541,-0.438608513,B
-0.063554777,0.595625203,B
0.812258635,-0.250214679,B
1.040653005,0.657186296,A
0.744342508,0.400733534,A
-1.002838171,0.121520501,A
1.131862401,-0.609308691,B
-0.519450117,0.896707974,A
-0.068611627,0.930692419,A
-0.285999955,1.218814139,A
